ID,Customer ID,Purchase Date,Product Price,Quantity,Total Purchase Amount,Payment Method,Returns,Gender,Churn,Product Category ID
1,46251,2020-09-08 09:38:32,12,3,740,Credit Card,0.0,Male,0,1
2,46251,2022-03-05 12:56:35,468,4,2739,PayPal,0.0,Male,0,2
3,46251,2022-05-23 18:18:01,288,2,3196,PayPal,0.0,Male,0,2
4,46251,2020-11-12 13:13:29,196,1,3509,PayPal,0.0,Male,0,3
5,13593,2020-11-27 17:55:11,449,1,3452,Credit Card,0.0,Female,1,2
6,13593,2023-03-07 14:17:42,250,4,575,PayPal,1.0,Female,1,2
7,13593,2023-04-15 03:02:33,73,1,1896,Credit Card,0.0,Female,1,1
8,13593,2021-03-27 21:23:28,337,2,2937,Cash,0.0,Female,1,4
9,13593,2020-05-05 20:14:00,182,2,3363,PayPal,1.0,Female,1,3
10,28805,2023-09-13 04:24:00,394,2,1993,Credit Card,0.0,Male,0,1
11,28805,2021-03-31 09:50:57,366,1,246,PayPal,0.0,Male,0,3
12,28805,2021-01-18 22:42:24,348,1,2682,Credit Card,1.0,Male,0,4
13,28805,2020-01-07 12:57:35,103,4,731,Cash,0.0,Male,0,4
14,28805,2021-02-12 20:33:20,240,1,2563,PayPal,0.0,Male,0,4
15,28805,2020-07-02 02:54:37,368,1,1342,Credit Card,,Male,0,3
16,28961,2021-04-25 23:55:21,30,1,4135,PayPal,,Male,0,4
17,28961,2020-01-13 09:57:17,153,5,698,Credit Card,0.0,Male,0,4
18,28961,2023-06-18 21:34:27,259,1,2975,Credit Card,0.0,Male,0,3
19,28961,2021-09-10 00:39:41,489,3,2213,Credit Card,1.0,Male,0,4
20,28961,2023-06-01 19:07:10,232,3,4452,PayPal,1.0,Male,0,4
21,12163,2021-12-18 17:49:18,255,2,1642,Credit Card,,Male,0,3
22,12163,2020-06-20 05:56:17,227,3,887,PayPal,,Male,0,4
23,12163,2023-07-08 13:36:47,288,2,1405,PayPal,0.0,Male,0,3
24,12163,2023-07-01 12:36:00,60,3,4130,Cash,,Male,0,4
25,12163,2022-11-16 08:56:03,285,4,384,Crypto,,Male,0,2
26,12163,2020-04-07 04:24:44,100,5,1273,Cash,0.0,Male,0,4
27,12163,2020-11-28 16:48:01,28,4,495,Credit Card,0.0,Male,0,1
28,12163,2020-08-21 09:23:52,382,2,1532,PayPal,1.0,Male,0,1
29,12163,2023-04-24 23:55:44,400,5,1673,Credit Card,1.0,Male,0,2
30,28248,2023-04-09 01:33:30,410,1,445,Cash,,Male,1,3
31,28248,2020-04-26 21:19:56,70,5,1037,PayPal,0.0,Male,1,4
32,28248,2023-09-12 20:36:28,243,3,2516,PayPal,0.0,Male,1,2
33,28248,2021-06-25 14:52:44,131,4,2019,PayPal,0.0,Male,1,2
34,28248,2021-11-24 07:13:08,327,1,1496,Cash,,Male,1,2
35,28248,2022-09-22 17:12:16,405,3,1687,PayPal,1.0,Male,1,4
36,28248,2021-08-03 09:41:40,219,2,468,PayPal,0.0,Male,1,1
37,6761,2021-11-29 12:56:23,218,5,3034,Credit Card,0.0,Female,0,4
38,6761,2020-11-23 05:27:32,304,4,3110,Cash,,Female,0,3
39,6761,2020-01-08 05:34:28,20,4,3075,PayPal,0.0,Female,0,3
40,6761,2021-05-10 17:46:35,400,2,1036,Cash,,Female,0,2
41,17018,2023-06-27 03:47:09,227,2,1953,Cash,1.0,Male,0,2
42,17018,2022-01-17 11:15:32,285,3,4630,Credit Card,1.0,Male,0,3
43,17018,2022-03-03 04:41:32,31,1,268,Credit Card,0.0,Male,0,4
44,17018,2020-05-10 00:33:28,434,4,456,PayPal,0.0,Male,0,4
45,17018,2022-12-09 08:32:41,156,3,3937,Credit Card,0.0,Male,0,2
46,17018,2021-04-30 13:16:25,119,3,3967,PayPal,,Male,0,3
47,17018,2020-06-25 00:15:16,53,4,3729,PayPal,1.0,Male,0,1
48,11462,2020-01-12 09:59:22,485,3,509,PayPal,1.0,Female,0,3
49,11462,2023-01-12 07:48:01,191,4,1785,PayPal,,Female,0,2
50,11462,2022-01-04 00:05:56,31,5,1464,Cash,0.0,Female,0,4
51,11462,2020-08-27 13:27:00,355,5,1799,Credit Card,1.0,Female,0,2
52,11462,2023-02-27 13:50:56,284,3,297,Crypto,0.0,Female,0,4
53,11462,2020-04-20 14:48:00,82,5,3439,Cash,0.0,Female,0,3
54,43388,2020-05-14 22:22:00,370,5,1034,Cash,1.0,Female,0,2
55,43388,2020-12-02 18:32:31,380,2,840,Credit Card,1.0,Female,0,3
56,43388,2022-04-20 09:45:07,365,4,3119,PayPal,1.0,Female,0,2
57,43388,2020-09-15 14:26:50,394,3,2877,Cash,1.0,Female,0,1
58,43388,2023-07-07 21:17:27,20,3,3294,PayPal,,Female,0,2
59,43388,2022-01-20 00:51:20,101,3,4487,Credit Card,0.0,Female,0,3
60,43388,2021-08-09 04:13:36,337,2,4258,Credit Card,0.0,Female,0,3
61,43388,2022-02-27 09:50:57,453,4,365,Cash,,Female,0,3
62,39199,2022-01-24 01:55:43,362,1,1766,Credit Card,1.0,Male,0,4
63,39199,2023-03-18 09:21:58,448,2,3260,PayPal,1.0,Male,0,2
64,39199,2022-08-20 00:03:24,197,5,2442,Credit Card,1.0,Male,0,4
65,39199,2020-07-25 07:42:40,21,2,559,PayPal,,Male,0,3
